"sitio","latitud","longitud","alcaldia","tipo"
"Zócalo",19.4326,-99.1332,"Cuauhtémoc","Plaza Histórica"
"Palacio de Bellas Artes",19.4352,-99.1412,"Cuauhtémoc","Museo/Teatro"
"Catedral Metropolitana",19.4342,-99.1332,"Cuauhtémoc","Monumento Religioso"
"Templo Mayor",19.4353,-99.1318,"Cuauhtémoc","Zona Arqueológica"
"Bosque de Chapultepec",19.4204,-99.1919,"Miguel Hidalgo","Parque"
"Castillo de Chapultepec",19.4205,-99.1815,"Miguel Hidalgo","Museo/Castillo"
"Museo Nacional de Antropología",19.4261,-99.1861,"Miguel Hidalgo","Museo"
"Basílica de Guadalupe",19.4847,-99.1173,"Gustavo A. Madero","Basílica"
"Xochimilco",19.2577,-99.1035,"Xochimilco","Canales/Ecoturismo"
"Coyoacán Centro",19.3467,-99.1631,"Coyoacán","Barrio Histórico"
"Ángel de la Independencia",19.427,-99.1677,"Cuauhtémoc","Monumento"
"Museo Soumaya",19.4404,-99.2062,"Miguel Hidalgo","Museo"
"Torre Latinoamericana",19.4338,-99.1377,"Cuauhtémoc","Mirador"
"San Ángel",19.3481,-99.1875,"Álvaro Obregón","Barrio Histórico"
"Polanco",19.4365,-99.195,"Miguel Hidalgo","Zona Comercial/Gastronómica"
